// Cash Shop Database
// Contains the items sold in the ingame cash shop.
//
// Structure of Database:
// Type,ItemID,Price
//
// Type:
//    0: New
//    1: Hot
//    2: Limited
//    3: Rental
//    4: Gear
//    5: Buff
//    6: Heal
//    7: Other
//    8: Sale
//
// Price:
//    Item cost, in cash points (#CASHPOINTS).
0,902,10
0,7035,20
0,7850,30
4,2483,10
4,2484,10
4,2485,10
4,2486,10
4,2487,10
5,12582,10
4,15046,10
4,15047,10
4,15048,10
4,2915,10
4,20797,10
4,20815,10
4,20819,10
4,20830,10
4,20838,10
4,20840,10
4,20856,10
1,20509,10
1,20510,10
1,20507,10
1,20504,10
1,20511,10
1,20512,10
1,20516,10
4,20702,10
4,20703,10
4,20704,10
4,20706,10
4,20707,10
3,20709,10
4,20721,10
1,20727,10
4,20732,10
4,20733,10
4,20743,10
4,20744,10
1,20746,10
4,20748,10
4,20749,10
4,20753,10
4,20756,10
1,20761,10
1,20762,10
1,20763,10
1,20764,10
4,20779,10
4,20780,10
4,20781,10
4,20782,10
4,20787,10
4,20788,10
4,20789,10
4,20790,10
1,20798,10
4,20815,10
